Ref,Val,Package,PosX,PosY,Rot,Side
C1,10uF,C_0603_1608Metric,7.4,-24.7,90,top
C2,100nF,C_0402_1005Metric,8.08,-9.5,0,top
C3,10pF,C_0402_1005Metric,24.9,-27.9,-90,top
C4,30pF,C_0402_1005Metric,30.1,-20.1,0,top
C9,30pF,C_0402_1005Metric,27.62,-15.5,0,top
C14,10uF,C_0603_1608Metric,14.9,-26.6,-90,top
C15,100nF,C_0402_1005Metric,14.68,-24.6,180,top
C16,10pF,C_0402_1005Metric,24.9,-29.88,-90,top
C17,100nF,C_0402_1005Metric,33.3,-33.7,90,top
C18,100nF,C_0402_1005Metric,30.3,-33.7,90,top
C20,10uF,C_0603_1608Metric,11.6,-23.1,0,top
C21,100nF,C_0402_1005Metric,23.82,-21.8,0,top
C22,2u2F,C_0603_1608Metric,11.5,-10.7,0,top
C23,2u2F,C_0603_1608Metric,20.1,-26.4,90,top
C24,4u7F,C_0603_1608Metric,24.5,-11.7,180,top
C25,100nF,C_0402_1005Metric,23.9,-10.4,0,top
C26,100nF,C_0402_1005Metric,11.18,-12,180,top
C27,100nF,C_0402_1005Metric,11.18,-21.8,180,top
C28,100nF,C_0402_1005Metric,21.1,-24.2,0,top
C29,1uF,C_0402_1005Metric,25.3,-13.6,0,top
C30,100nF,C_0402_1005Metric,25.3,-14.7,0,top
D1,BLINK,LTST-C190KGKT,31.8,-0.9,180,top
D2,1N5819HW-7-F,SOD3715X145N,11.12,-25,0,top
D3,PWRLED,LTST-C190KGKT,3.2,-0.9,0,top
D4,CLMVC-FKA-CL1D1L71BB7C3C3,CLMVC-FKA-CL1D1L71BB7C3C3,8.1,-13.25,0,top
J1,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,19.1,-33.7,0,top
Q1,DMG1012UW-7,SOT-323_SC-70,8.1,-15.85,0,top
Q2,DMG1012UW-7,SOT-323_SC-70,8.1,-18.5,0,top
Q3,DMG1012UW-7,SOT-323_SC-70,8.1,-21.1,0,top
R1,10k,R_0402_1005Metric,31.4,-33.7,90,top
R2,5k1,R_0402_1005Metric,5.6,-33.2,180,top
R3,221R,R_0402_1005Metric,6.1,-25.4,-90,top
R4,10k,R_0402_1005Metric,29.2,-0.7,0,top
R5,5k1,R_0402_1005Metric,5.6,-34.3,180,top
R6,10k,R_0402_1005Metric,5.8,-0.7,0,top
R7,10k,R_0402_1005Metric,24.9,-33.8,-90,top
R8,10k,R_0402_1005Metric,10.4,-17.9,90,top
R9,1k4,R_0402_1005Metric,5.3,-20.1,0,top
R10,1k1,R_0402_1005Metric,5.3,-15,0,top
R11,160R,R_0402_1005Metric,5.3,-17.6,0,top
R12,221R,R_0402_1005Metric,5.3,-12.5,0,top
R13,10k,R_0402_1005Metric,10.4,-15.9,90,top
R14,221R,R_0402_1005Metric,6.1,-23.4,-90,top
R15,10k,R_0402_1005Metric,10.4,-19.91,90,top
SW1,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,27.275,-26,90,top
SW2,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,27.275,-31.875,-90,top
U1,USBLC6-2SC6,SOT-23-6,17.45,-25.8625,90,top
U2,LD1117S33TR,LD1117,10.2,-30.5,-90,top
U4,LQFP64-10x10mm_STM,STM32H573RIT6,17.5,-16.950001,180,top
XTAL1,SC32S-7PF20PPM,SC32S-7PF20PPM,23.3,-25.369799,90,top
Y1,ECS-80-18-23B-JTN-TR,ECS-80-18-23B-JTN-TR,27,-19.5,-90,top
